Key,Rep1,Rep2,Rep3,Rep4,,,,,,,
神奈川県,神奈川区,東神奈川1-14-35 サンハロー東神奈川駅前,A1,东神402,1人可生 生13起,神奈川県横浜市神奈川区東神奈川1-14-35 サンハロー東神奈川駅前 402号室,11-2,可以,没有,2回20起 没有女孩照片,
神奈川県,神奈川区,二ツ谷町2-10 餃子やと同じ建物の,A2,东神奈川3F,1人不生,神奈川県横浜市神奈川区二ツ谷町2-10 餃子やと同じ建物の3階、看板：美鈴怨,12-2,可以,有店客,回信慢,
神奈川県,港北区,新横浜3-8-5 グリフィン新横浜・参番館,A3,新横滨906,1人可生,神奈川県横浜市港北区新横浜3-8-5 グリフィン新横浜・参番館 906号室,11:30-2,可以,,经常回信慢 偶尔失联,门禁按房号呼出
神奈川県,港北区,新横浜3-21-2 プロシード新横浜,A4,新横滨0616,1人可生 生13起,神奈川県横浜市港北区新横浜3-21-2 プロシード新横浜 6階の0616号室（门禁按616呼出）,11-2,可以,有店客,提前告诉客人露脸看镜头 2回最低20000,
神奈川県,戸塚区,戸塚町4872 ウエストウインハイム,A7,横滨302,1人可生 生13起,神奈川県横浜市戸塚区戸塚町4872 ウエストウインハイム 302号室,11-2,可以,没有,2回20起 没有女孩照片,
神奈川県,多摩区,登戸3287-2 スカイコートノボリト,A8,登户306,1人可生 生13起,神奈川県川崎市多摩区登戸3287-2 スカイコートノボリト 306号室,11-2,可以,没有,2回20起 没有女孩照片,
神奈川県,中原区,新丸子東2-926-15 マノア武蔵小杉,A9,武藏小杉601,1人可生,神奈川県川崎市中原区新丸子東2-926-15 マノア武蔵小杉 601号室,11-2,可以,有店客,不接3回 2回20起,
神奈川県,川崎区,南町21-12 スカイコートパシフィック川崎,A11,川崎704,2人1个生可双,神奈川県川崎市川崎区南町21-12 スカイコートパシフィック川崎 704号室,11-2,可以,没有,,
神奈川県,鶴見区,鶴見中央1-2-4 GSプラザ鶴見駅前ビル,A17,鹤见404,1人可生,神奈川県横浜市鶴見区鶴見中央1-2-4 GSプラザ鶴見駅前ビル 404号室,11-1,可以,没有,,
神奈川県,鶴見区,鶴見中央1-23-18 コスモプラザ,A18,鹤见501,1人不生,神奈川県横浜市鶴見区鶴見中央1-23-18 コスモプラザ 501号室,11:30-2,可以,,经常回信慢 偶尔失联,没有门禁
神奈川県,南区,相模大野7-3-1 メゾン・カネト,A21,相模大野606,1人不生,神奈川県相模原市南区相模大野7-3-1 メゾン・カネト 606号室,12-2,可以,有店客,,
神奈川県,戸塚区,上倉田町1000 ハイツ山重,A26,美满群-户塚208,1人可生,神奈川県横浜市戸塚区上倉田町1000 ハイツ山重 208号室,11-2,可以,有店客,没有门禁，上楼按铃，附近有收费停车场,
神奈川県,横須賀市,日の出町1-2-7 ノイエヨコスカ1番館,A27,横须贺404,1人不生,神奈川県横須賀市日の出町1-2-7 ノイエヨコスカ1番館 404号室,11-1,可以,没有,有门禁按房号呼出,
神奈川県,藤沢市,鵠沼花沢町2-2 グレースコート湘南,A29,藤沢801,1人不生,神奈川県藤沢市鵠沼花沢町2-2 グレースコート湘南 801号室,12-2,可以,,,
神奈川県,藤沢市,藤沢1031-1 日神パレステージ藤沢,A30,藤沢303,2人不生可双,神奈川県藤沢市藤沢1031-1 日神パレステージ藤沢 303号室,11-1,可以,,,
神奈川県,海老名市,中新田3-5-23 シルフィード厚木,A31,厚木303,1人可生,神奈川県海老名市中新田3-5-23 シルフィード厚木 303号室,11-2,不能,有店客,报单发送名字截图,
神奈川県,茅ヶ崎市,新栄町13-16 茅ヶ崎ダイカンプラザシティ,A32,美满群-茅ヶ崎702,1人可生,神奈川県茅ヶ崎市新栄町13-16 茅ヶ崎ダイカンプラザシティ 702号室,11-2,可以,有店客,有门禁按房号呼出，附近有收费停车场,
神奈川県,海老名市,国分南1丁目11-6 フレクション海老名国分,A33,海老名201,2人可生可双,神奈川県海老名市国分南1丁目11-6 フレクション海老名国分 201号室,11-1,可以,,,
東京都,江東区,亀戸6-12-7 第2伸光マンション,B1,龟户302,2人不生,東京都江東区亀戸6-12-7 第2伸光マンション 302号室,12-2,不能,,,
東京都,江東区,亀戸6丁目44-4 RESIDENCETOKYO亀戸Ⅱ,B2,龟户503,2人可生可双,東京都江東区亀戸6丁目44-4 RESIDENCETOKYO亀戸Ⅱ 503号室,11-2,可以,没有,,
東京都,江東区,亀戸6丁目47-2 ウィンベル亀戸,B3,美满群-龟户504,1人不生,東京都江東区亀戸6丁目47-2 ウィンベル亀戸(MONTHLY亀戸1) 504号室,11-2,可以,有店客,有门禁按房号呼出，附近有收费停车场,
東京都,江戸川区,西小岩1丁目30-11 ハイホーム沖田,B4,小岩903,1人不生,東京都江戸川区西小岩1丁目30-11 ハイホーム沖田 903号室,11-1,可以,没有,没有门禁,
東京都,台東区,東上野4丁目6-7 シティコープ上野広徳,B8,上野604,1人不生,東京都台東区東上野4丁目6-7 シティコープ上野広徳 604号室,12-2,不能,有店客,,
東京都,台東区,根岸2-21-13 ジョイフル根岸,B9,日暮里406,1人可生,東京都台東区根岸2-21-13 ジョイフル根岸 406号室,11-1,可以,没有,不能找零 不接2回,
東京都,墨田区,錦糸1-6-9 メインステージ錦糸町駅前,B10,錦糸町202,1人可生,東京都墨田区錦糸1-6-9 メインステージ錦糸町駅前 202号室,11-1,可以,没有,不能找零 不接2回,
東京都,豊島区,池袋本町4丁目30-15,B11,池袋一户建,1人可生,東京都豊島区池袋本町4丁目30-15,11-1,不能,,,
東京都,豊島区,池袋本町1丁目34-5 北池ハイツ,B12,池袋301,1人不生,東京都豊島区池袋本町1丁目34-5 北池ハイツ 301号室,11-1,不能,,没有女孩照片,
東京都,豊島区,東池袋5丁目40-7 グランヴァン東池袋2,B13,大塚501,1人不生,東京都豊島区東池袋5丁目40-7 グランヴァン東池袋2 501号室,12-2,不能,有店客,,
東京都,豊島区,駒込2-4-2ペニンシュラ・コマゴメ,B14,駒込201,1人不生 不接2回,東京都豊島区駒込2-4-2ペニンシュラ・コマゴメ 201号室,12-1,,,偶尔有店客没通知,
東京都,板橋区,赤塚3丁目19-8 TOP成増2,B15,美满群-成增109,1人可生,東京都板橋区赤塚3丁目19-8 TOP成増2 109号室,11-2,可以,有店客,没有门禁，轻轻敲门，附近有收费停车场,
東京都,大田区,西蒲田8-22-3 インペリアル蒲田,B16,蒲田214,2人不生,東京都大田区西蒲田8-22-3 インペリアル蒲田 214号室,11-2,可以,有店客,不接3回 2回20起,
東京都,大田区,西蒲田7-29-5 ニューカマタビル,B17,蒲田802,2人1个生可套双,東京都大田区西蒲田7-29-5 ニューカマタビル 802号室,11-2,可以,没有,偶尔回信慢,
